"HEK_Exosome_CAV_1"	"HEK_Exosome_CAV_2"	"HEK_Exosome_CAV_3"	"HEK_Exosome_PN4.11_1"	"HEK_Exosome_PN4.11_2"	"HEK_Exosome_PN4.11_3"	"HEK_Exosome_PRKCA4_1"	"HEK_Exosome_PRKCA4_2"	"HEK_Exosome_PRKCA4_3"	"HEK_Exosome_PRTF_2"	"HEK_Exosome_PRTF_3"	"HEK_Exosome_PTRF_1"	"HEK_Exosome_SDPR_1"	"HEK_Exosome_SDPR_2"	"HEK_Exosome_SDPR_3"
"hsa-miR-1-1-3p"	4	2	17	8	3	0	8	12	11	7	0	14	17	9	0
"hsa-miR-15b-5p"	36	6	178	309	28	15	78	53	121	62	0	468	412	11	3
"hsa-miR-1273e-5p"	12	7	107	50	27	13	20	66	122	47	2	53	59	28	4
"hsa-miR-5096-3p"	34	12	335	328	169	43	65	241	295	276	0	380	505	73	9
"hsa-miR-196b-5p"	263	27	712	754	171	82	461	203	700	204	5	1177	854	229	34
"hsa-miR-196a-2-3p"	7	1	4	4	2	3	4	6	16	8	0	13	9	4	0
"hsa-miR-99b-3p"	171	32	209	155	62	79	222	97	273	61	0	288	212	108	11
"hsa-miR-941-4-3p"	78	2	79	97	30	19	71	20	122	18	0	74	36	40	3
"hsa-miR-452-3p"	9	0	3	13	3	1	12	4	7	4	0	23	10	0	0
"hsa-miR-339-3p"	17	3	38	76	14	5	27	24	44	22	0	127	91	16	3
"hsa-miR-3648-1-3p"	10	10	11	3	11	2	13	24	69	9	0	2	6	54	4
"hsa-miR-19b-1-3p"	303	20	219	466	129	68	304	118	212	148	7	554	303	184	9
"hsa-miR-9-1-3p"	3	1	21	22	4	5	9	4	16	6	1	26	22	1	0
"hsa-miR-1273a-3p"	7	5	173	101	56	27	11	58	138	73	0	95	144	5	0
"hsa-miR-339-5p"	134	22	104	204	35	29	185	52	114	25	3	228	211	28	2
"hsa-miR-5096-5p"	12	3	517	835	388	13	43	487	367	754	0	592	1189	35	3
"hsa-miR-1290-3p"	13	3	24	6	3	4	25	12	19	4	0	32	19	8	4
"hsa-miR-182-5p"	231	30	1181	1136	483	163	260	454	1062	295	24	716	1046	230	16
"hsa-miR-1285-2-3p"	18	2	14	38	11	6	16	9	14	8	0	30	27	14	0
"hsa-miR-7706-3p"	100	40	116	175	29	53	200	61	245	46	3	280	131	18	6
"hsa-miR-941-3-3p"	78	2	79	97	30	19	71	20	122	18	0	74	36	40	3
"hsa-miR-671-3p"	1	3	20	3	2	6	9	2	14	0	0	15	11	1	1
"hsa-miR-450a-1-5p"	68	12	74	62	9	80	150	14	93	15	0	75	52	52	21
"hsa-miR-577-5p"	7	0	70	81	30	7	20	35	56	24	0	51	47	27	0
"hsa-miR-576-3p"	71	15	81	150	17	21	140	55	88	51	0	214	196	33	3
"hsa-miR-92b-3p"	173	19	374	166	47	75	319	48	198	48	2	377	269	72	13
"hsa-miR-340-3p"	25	3	32	29	8	10	37	14	43	13	2	26	28	8	2
"hsa-miR-20b-5p"	5	6	73	71	24	4	27	51	35	49	1	79	119	16	0
"hsa-miR-199a-1-3p"	11	4	56	47	9	5	19	18	64	15	0	54	47	5	1
"hsa-miR-3158-1-3p"	2	2	16	17	5	3	0	4	11	9	0	15	18	7	0
"hsa-miR-4419a-5p"	26	3	76	33	22	18	36	25	90	25	0	65	56	15	0
"hsa-miR-18a-5p"	51	6	165	256	82	23	55	148	173	75	4	159	119	22	1
"hsa-miR-7641-2-3p"	183	74	626	585	885	130	268	583	534	1077	3	347	569	261	50
"hsa-miR-4508-5p"	1	0	16	6	6	2	3	11	14	3	0	4	6	2	1
"hsa-miR-200a-3p"	8	19	290	1175	4	245	3	15	10	10	5	12	61	3	16
"hsa-miR-548n-5p"	7	0	19	18	5	9	10	15	9	8	1	31	28	8	2
"hsa-miR-1908-5p"	6	1	12	4	1	1	19	1	12	0	0	6	3	0	0
"hsa-miR-196a-1-5p"	219	26	636	662	80	72	407	197	625	168	0	1331	796	98	18
"hsa-miR-769-5p"	338	60	300	455	93	175	297	137	403	116	18	404	306	156	18
"hsa-miR-3182-5p"	466	96	800	2040	2949	292	1100	1598	1033	2017	2	1111	1076	1273	45
"hsa-miR-221-3p"	724	51	1672	2300	221	199	757	459	1044	351	12	4137	2979	272	28
"hsa-miR-146a-5p"	9	2	11	12	4	5	2	6	12	3	0	38	22	0	0
"hsa-miR-7641-1-5p"	72	23	104	64	53	36	95	81	151	37	0	57	114	45	12
"hsa-miR-494-3p"	1	0	15	7	2	0	0	7	16	5	0	3	4	2	1
"hsa-miR-320d-1-3p"	151	18	62	232	10	22	159	50	76	55	0	301	167	55	8
"hsa-miR-449a-5p"	7	0	14	26	2	0	4	4	15	3	0	21	15	7	4
"hsa-miR-548h-2-5p"	11	6	15	14	1	2	26	7	6	6	0	10	12	6	3
"hsa-miR-1303-3p"	27	2	30	40	12	16	8	20	60	15	2	34	32	23	1
"hsa-miR-320a-3p"	2984	464	1342	2791	572	717	4151	1265	2735	1030	29	4681	3118	1016	150
"hsa-miR-342-5p"	1	0	7	3	1	0	9	1	20	4	0	11	13	3	0
"hsa-miR-200b-3p"	11	25	308	972	9	262	12	7	24	15	11	12	64	9	41
"hsa-miR-30c-1-5p"	288	18	1785	994	369	191	353	361	1381	170	23	650	884	189	20
"hsa-miR-4326-5p"	4	0	7	12	7	4	10	1	19	1	0	5	3	3	0
"hsa-miR-589-5p"	34	12	64	85	17	18	70	29	60	38	1	189	84	9	2
"hsa-miR-125b-2-5p"	107	14	302	489	23	83	145	72	260	74	5	566	461	17	7
"hsa-miR-449c-5p"	4	1	19	19	8	8	6	2	13	3	1	11	12	6	0
"hsa-miR-95-3p"	25	3	33	28	4	12	44	15	57	15	1	56	39	17	1
"hsa-miR-548f-3-3p"	3	2	6	13	2	5	23	3	10	2	0	6	9	7	0
"hsa-miR-7-1-5p"	1332	299	4172	6402	2358	617	1919	2758	3893	3187	56	5766	3534	1993	71
"hsa-miR-3159-3p"	4	4	58	33	18	12	10	27	71	21	0	22	32	6	3
"hsa-miR-129-1-5p"	56	12	18	34	6	8	105	13	23	18	0	134	70	13	0
"hsa-miR-132-3p"	44	6	94	77	11	14	46	35	78	54	0	147	110	10	0
"hsa-miR-192-5p"	134	48	197	1541	117	74	190	204	247	166	1	192	238	249	11
"hsa-miR-361-3p"	63	2	89	108	37	22	67	43	103	20	3	87	71	48	4
"hsa-miR-92a-1-3p"	11458	1204	26534	13738	2414	3940	21370	3133	10400	3320	135	29826	13552	3468	595
"hsa-miR-101-2-3p"	1422	297	1940	2288	442	835	2313	734	1811	682	26	2774	1649	958	96
"hsa-miR-423-3p"	2390	361	6742	4456	1041	999	2985	1928	5172	1427	24	7307	5544	1740	191
"hsa-miR-501-5p"	6	0	20	12	11	4	8	4	11	4	1	11	11	7	1
"hsa-miR-1273d-5p"	2	2	10	8	6	3	10	6	24	9	0	11	11	3	4
"hsa-miR-146b-5p"	174	24	272	258	111	40	210	164	298	127	5	319	246	174	5
"hsa-miR-548t-3p"	0	0	12	11	4	4	1	2	10	6	0	4	8	5	0
"hsa-miR-16-2-5p"	76	11	320	795	64	41	63	128	236	151	7	827	760	32	6
"hsa-miR-7851-5p"	4	2	18	7	9	1	2	6	16	4	0	15	15	1	0
"hsa-miR-455-5p"	40	5	29	48	4	15	41	9	41	14	1	31	31	11	2
"hsa-miR-194-2-5p"	6	4	45	172	23	4	7	13	43	20	0	40	37	1	1
"hsa-miR-424-3p"	69	8	175	123	21	34	99	59	127	24	0	172	154	17	5
"hsa-miR-17-5p"	660	204	5081	7223	2347	293	761	3692	4472	3774	38	5023	4408	531	24
"hsa-miR-101-1-3p"	1788	384	2431	2810	563	1118	2978	902	2327	817	38	3347	2099	1164	111
"hsa-miR-7-2-5p"	1335	299	4174	6405	2359	616	1915	2755	3890	3187	56	5766	3536	1992	71
"hsa-miR-425-5p"	64	8	128	128	70	38	55	55	145	40	6	129	105	44	4
"hsa-miR-96-5p"	27	8	58	78	20	38	29	27	64	19	4	72	62	18	2
"hsa-miR-501-3p"	147	17	222	308	70	30	183	100	169	84	2	617	418	75	5
"hsa-miR-550a-1-5p"	1	1	6	11	8	3	9	3	16	2	0	12	15	3	0
"hsa-miR-138-2-5p"	14	3	3	17	0	0	6	1	5	5	0	10	13	6	0
"hsa-miR-4791-5p"	23	6	15	172	52	8	12	41	11	115	0	45	107	29	2
"hsa-miR-3195-5p"	0	0	16	2	0	5	0	3	15	0	0	4	1	4	0
"hsa-let-7a-2-5p"	493	106	1777	1567	464	601	604	630	2460	310	32	945	1541	304	79
"hsa-miR-103a-2-3p"	930	90	6607	7207	2227	589	1293	2180	5514	1238	71	4893	5701	416	69
"hsa-miR-106b-3p"	307	60	548	602	127	109	306	235	552	180	4	625	538	198	13
"hsa-miR-451a-5p"	9	3	22	10	7	3	17	7	45	1	0	8	11	2	1
"hsa-miR-548aa-2-3p"	0	0	12	11	4	4	1	2	10	6	0	4	8	5	0
"hsa-miR-4488-5p"	6	2	13	3	5	15	11	7	25	1	0	1	3	1	2
"hsa-miR-548f-2-3p"	3	2	6	13	2	5	23	3	10	2	0	6	9	7	0
"hsa-miR-25-3p"	2375	274	1939	3871	560	619	3982	815	2139	979	37	7761	4059	1048	100
"hsa-miR-425-3p"	21	7	18	39	10	9	13	17	26	10	0	26	34	29	3
"hsa-miR-1278-3p"	9	4	7	10	3	1	5	4	15	6	1	4	12	34	0
"hsa-miR-8086-3p"	3	2	94	50	25	15	16	32	75	43	2	72	71	15	0
"hsa-miR-6720-3p"	1	1	9	13	4	2	6	4	6	3	0	16	10	3	0
"hsa-miR-340-5p"	750	160	1510	1523	480	686	1041	589	1338	373	50	1369	1414	663	85
"hsa-miR-320a-5p"	30	4	99	111	43	23	21	75	124	50	0	38	133	43	6
"hsa-let-7b-5p"	38	19	87	101	15	91	51	20	79	14	6	36	52	31	17
"hsa-miR-199a-2-3p"	11	4	56	47	9	5	19	18	64	15	0	54	47	5	1
"hsa-miR-1273g-3p"	7	2	64	41	36	5	13	15	54	41	0	38	41	0	1
"hsa-miR-324-3p"	14	2	22	66	14	7	18	19	34	16	0	56	63	14	0
"hsa-miR-7704-5p"	5	4	16	9	11	3	12	16	47	13	0	5	12	11	4
"hsa-miR-486-2-5p"	32	4	125	62	18	14	43	15	121	8	0	103	60	19	0
"hsa-miR-125b-2-3p"	34	6	69	76	19	9	30	32	62	30	3	136	83	20	1
"hsa-miR-378b-3p"	86	2	2	5	1	0	19	1	5	2	0	5	8	2	0
"hsa-miR-147b-3p"	7	1	2	9	0	3	19	2	1	4	0	16	11	1	0
"hsa-miR-29b-1-3p"	13	1	14	78	3	9	6	8	7	5	0	19	19	8	2
"hsa-miR-1291-5p"	0	0	5	16	9	2	0	21	7	10	0	15	22	6	0
"hsa-miR-10b-5p"	3442	412	7429	6192	1337	1582	4950	2485	7299	1736	113	11873	8288	2500	257
"hsa-miR-132-5p"	17	3	16	16	2	10	16	5	29	1	0	22	20	8	0
"hsa-miR-200a-5p"	0	0	15	105	0	15	1	0	0	3	0	0	1	1	1
"hsa-miR-30a-5p"	4024	291	5319	6318	2067	1821	4564	1761	4917	1618	209	5838	5889	3099	213
"hsa-miR-452-5p"	53	6	75	251	19	9	87	40	66	35	0	262	232	14	1
"hsa-miR-660-5p"	316	21	323	300	61	80	510	109	303	101	2	508	374	193	19
"hsa-miR-190b-5p"	5	1	6	11	0	0	7	3	3	3	0	17	16	2	0
"hsa-miR-34a-5p"	102	8	147	249	6	22	138	16	79	29	1	178	156	11	6
"hsa-miR-141-3p"	1	0	19	31	0	6	1	1	0	1	0	1	4	0	3
"hsa-miR-181c-3p"	13	1	8	6	1	3	17	4	15	0	0	8	13	7	0
"hsa-miR-454-3p"	11	3	26	26	20	9	15	13	22	10	2	15	29	14	1
"hsa-miR-181b-1-3p"	2	0	14	7	6	1	4	2	12	0	0	6	6	3	0
"hsa-miR-191-5p"	523	110	2396	1470	1129	363	667	1068	2426	662	24	1031	1474	437	57
"hsa-miR-942-5p"	20	5	41	30	6	7	34	14	35	5	0	29	33	11	0
"hsa-miR-122-5p"	229	151	280	152	56	136	452	238	644	202	1	379	230	245	39
"hsa-miR-215-5p"	19	7	27	227	43	16	36	52	52	42	2	66	58	62	2
"hsa-miR-548aa-1-3p"	0	0	12	11	4	4	1	2	10	6	0	4	8	5	0
"hsa-miR-941-2-3p"	78	2	79	97	30	19	71	20	122	18	0	74	36	40	3
"hsa-miR-30e-5p"	1433	94	1501	2519	718	477	1704	624	1450	562	77	2481	2555	810	79
"hsa-miR-1285-1-5p"	18	5	276	308	139	12	39	206	227	274	1	298	475	21	1
"hsa-miR-5095-3p"	3	3	43	23	12	11	3	17	48	13	0	13	20	4	1
"hsa-miR-1250-5p"	56	6	57	51	11	3	70	19	26	27	0	118	154	66	3
"hsa-miR-34c-5p"	202	10	178	764	16	48	332	44	182	88	2	455	422	32	9
"hsa-miR-193a-5p"	62	4	96	88	2	13	86	14	55	12	0	218	124	1	1
"hsa-miR-2110-5p"	19	3	12	12	4	9	31	7	14	11	0	25	27	10	0
"hsa-miR-126-5p"	17	1	13	13	0	5	25	7	21	4	2	4	6	2	3
"hsa-miR-338-5p"	10	2	51	26	2	6	13	12	37	6	1	56	63	9	1
"hsa-miR-1292-5p"	3	1	10	14	8	2	3	8	32	2	0	6	1	4	0
"hsa-miR-1277-5p"	22	2	9	13	2	3	16	8	13	3	0	13	10	2	0
"hsa-miR-30b-5p"	17	4	54	102	19	38	28	22	50	21	4	45	31	9	3
"hsa-miR-941-5-3p"	78	2	79	97	30	19	71	20	122	18	0	74	36	40	3
"hsa-miR-218-2-5p"	6689	2467	3655	6571	1292	2763	7661	1833	6806	2060	168	5085	8254	7596	789
"hsa-miR-1295a-3p"	5	0	11	17	1	1	7	5	6	4	0	40	15	0	0
"hsa-miR-197-3p"	10	3	25	23	14	18	10	22	32	12	1	32	34	13	1
"hsa-miR-17-3p"	17	0	18	36	5	7	15	16	18	7	0	29	9	6	0
"hsa-miR-345-5p"	52	6	71	103	29	13	53	23	56	18	1	139	86	25	5
"hsa-miR-144-3p"	10	0	22	16	6	0	4	8	56	0	0	6	13	1	1
"hsa-miR-3615-3p"	41	7	84	47	25	51	108	28	117	28	2	109	61	15	6
"hsa-miR-499a-5p"	10	0	6	19	2	7	32	10	11	6	1	52	24	5	0
"hsa-miR-504-5p"	11	0	40	26	7	8	13	11	39	10	0	24	19	3	1
