PC3_Exosome_CAV1_23.3	PC3_Exosome_CAV1_4.3	PC3_Exosome_CAV1_6.3	PC3_Exosome_CAV2_23.3	PC3_Exosome_CAV2_4.3	PC3_Exosome_CAV2_6.3	PC3_Exosome_CAV3_23.3	PC3_Exosome_CAV3_4.3	PC3_Exosome_CAV3_6.3	PC3_Exosome_GFP_23.3	PC3_Exosome_GFP_4.3	PC3_Exosome_GFP_6.3			Ex.3rd	
hsa-miR-652-3p	83	125	5	73	54	134	99	45	40	88	169	12	4053.466667	1587.583333	0.659972472
hsa-miR-589-5p	47	69	3	38	57	93	69	63	19	51	87	9	1087.466667	337	0.663291961
hsa-miR-4454-5p	290	132	0	395	146	212	342	131	24	213	113	6	12989.06667	6595.333333	0.66678482
hsa-miR-196b-5p	167	161	7	92	153	410	216	148	65	162	172	30	5830.7	25.66666667	0.667794433
hsa-miR-125a-3p	38	30	0	24	43	146	32	82	4	30	49	11	321.0666667	80.91666667	0.668409378
hsa-miR-182-5p	2072	3307	74	4341	3944	6589	7758	1782	2142	4817	2127	492	3103374.167	1664322.917	0.668415433
hsa-miR-1292-5p	3	12	0	5	9	22	12	9	2	8	12	3	25.86666667	18.25	0.680876572
hsa-miR-937-3p	6	3	0	6	16	20	8	11	1	2	13	1	22.96666667	24.66666667	0.682242911
hsa-miR-222-5p	23	12	0	40	40	44	32	13	5	26	16	0	123.3666667	40.91666667	0.684462765
hsa-miR-423-5p	219	447	33	106	264	784	237	291	193	190	812	191	76834.66667	82552.66667	0.686267183
hsa-miR-147b-3p	25	30	0	50	58	26	26	30	4	26	33	6	185.2	13.66666667	0.691829659
hsa-miR-378d-2-5p	192	159	3	107	140	304	157	193	30	82	205	16	7843.5	3044.333333	0.694876904
hsa-miR-320b-1-3p	527	694	25	414	1327	1780	570	1038	274	448	1099	212	141686.9667	84138	0.704799977
hsa-miR-143-3p	20	38	1	9	19	148	13	25	2	7	36	8	247.4666667	212.9166667	0.710506625
hsa-miR-500a-3p	66	77	12	58	54	220	71	67	26	61	102	19	1197.366667	333.6666667	0.711625519
hsa-miR-2110-5p	5	9	0	3	13	42	6	8	6	5	13	2	22.26666667	14.66666667	0.711722791
hsa-miR-125b-1-3p	335	532	0	454	1266	1974	739	849	105	425	542	51	56006.96667	9583	0.713451716
hsa-miR-532-5p	1111	1765	107	730	1136	1638	1128	1014	433	1048	2573	313	840689.7667	505142.25	0.714681235
hsa-miR-25-3p	1753	2311	206	1654	2759	2918	2510	2072	609	2116	2214	497	857971.7667	59391	0.716885954
hsa-miR-671-3p	25	17	1	16	31	36	30	36	2	35	16	2	172.8	77.58333333	0.722224405
hsa-miR-151a-3p	9517	15603	143	16809	26263	7543	24374	17326	2201	22376	9055	1889	69659884.17	39067132.92	0.723512949
hsa-miR-101-1-3p	2048	3277	159	1702	1608	2750	2057	1458	1684	2098	4280	1046	2200604.667	1137661.583	0.724354791
hsa-miR-29c-5p	3	14	2	10	9	1	23	2	7	6	6	3	19.46666667	22.25	0.728400502
hsa-miR-744-5p	70	58	12	78	118	220	78	74	9	117	44	2	1747.1	1002.916667	0.729836646
hsa-miR-378d-1-3p	187	161	3	110	133	301	154	191	33	84	208	17	7781.6	2936.666667	0.730256331
hsa-miR-339-3p	52	30	1	41	61	156	51	82	14	50	42	5	498.8	99.66666667	0.730767234
hsa-miR-29b-2-3p	125	75	2	80	46	119	128	57	67	67	188	11	4940.8	3108.916667	0.732147991
hsa-miR-128-2-3p	2422	2399	113	1301	2517	3453	3074	4156	812	1400	2803	321	1328988.667	359983.3333	0.735858689
hsa-miR-128-1-3p	2457	2452	116	1316	2548	3507	3139	4185	841	1432	2852	329	1374707.467	368622.9167	0.73604163
hsa-miR-629-5p	200	132	18	40	112	432	85	136	45	58	207	20	7431.366667	4844.916667	0.736316712
hsa-miR-29b-1-3p	125	76	2	80	46	118	127	57	68	67	188	11	4939.766667	3083.333333	0.736322254
hsa-miR-101-2-3p	1616	2760	123	1348	1279	2178	1621	1110	1414	1696	3541	879	1530443.767	847236.9167	0.736484635
hsa-miR-1304-3p	16	10	2	17	17	22	20	24	3	14	9	3	32	10.91666667	0.73894676
hsa-miR-331-5p	17	10	2	3	7	74	18	7	4	13	11	2	36.56666667	9.583333333	0.743351429
hsa-miR-4521-5p	27	2	18	4	2	4	47	1	8	2	16	1	118.4	146.9166667	0.746617792
hsa-miR-340-5p	402	747	66	145	132	392	454	205	263	330	1173	141	173273.1	148722	0.750736691
hsa-miR-548o-3p	57	128	4	64	95	26	108	77	26	111	103	11	2826.8	920.9166667	0.753218597
hsa-miR-548o-2-3p	57	128	4	64	95	26	108	77	26	111	103	11	2826.8	920.9166667	0.753218597
hsa-miR-585-3p	4	11	0	5	10	9	9	7	3	11	7	2	21.36666667	11.58333333	0.753404606
hsa-miR-7-2-5p	556	1531	146	826	1049	1986	1492	559	758	800	1782	160	478086.5667	339576.9167	0.754787416
hsa-miR-7-3-5p	556	1531	146	826	1050	1987	1492	560	757	800	1781	160	477705.6	339167.3333	0.755134668
hsa-miR-7-1-5p	558	1536	146	827	1052	1989	1500	560	762	802	1784	160	480014	340306.6667	0.756533978
hsa-miR-32-3p	10	5	0	5	1	12	16	6	0	8	9	5	13.36666667	4.666666667	0.758181364
hsa-miR-423-3p	983	868	147	685	1458	3102	965	1086	376	832	1144	174	180981.4667	19730.25	0.760210639
hsa-miR-3613-5p	72	90	1	42	27	42	46	20	32	46	96	10	1635.9	504	0.760360904
hsa-miR-33a-5p	16	7	0	6	7	5	7	9	3	13	6	0	43.2	23	0.761008583
hsa-miR-28-3p	343	447	10	233	465	1125	348	299	95	308	428	74	33813.06667	4445.666667	0.76678234
hsa-miR-140-3p	133	119	18	50	39	123	92	56	45	81	146	20	3180.566667	788.9166667	0.766813744
hsa-miR-125b-2-5p	1856	1862	11	2087	2393	8478	2426	1748	757	2178	1150	267	821842.2667	188811.6667	0.76916007
hsa-miR-378g-5p	23	24	0	17	20	73	33	46	7	21	29	8	122.7	11.58333333	0.77174248
hsa-miR-125b-1-5p	1846	1848	11	2077	2373	8466	2415	1740	754	2166	1149	266	811564.2667	184352.25	0.772903932
hsa-miR-186-5p	670	1071	27	631	949	1464	876	777	504	642	1386	342	238590.6667	125920.25	0.774826078
hsa-miR-584-5p	522	705	4	380	640	3982	424	462	154	407	707	119	87460.26667	21645.58333	0.783773948
hsa-miR-3615-3p	339	345	5	498	1109	845	672	728	73	528	252	95	35520.26667	13470	0.786904157
hsa-miR-4664-3p	21	38	0	19	38	23	28	24	3	25	41	2	301.3666667	94.91666667	0.792678634
hsa-miR-1260b-5p	9	7	2	8	4	18	12	8	0	10	4	1	13.9	7	0.797359641
hsa-miR-339-5p	107	74	2	70	81	88	124	57	23	107	56	6	2179.866667	642	0.798982836
hsa-miR-501-3p	29	37	3	18	23	154	30	33	6	17	64	12	474.8	397.5833333	0.803706615
hsa-miR-1299-3p	2	4	0	16	22	50	10	9	3	1	4	1	2.8	2.25	0.810892384
hsa-miR-130b-3p	27	18	0	13	24	81	28	36	3	18	24	2	127.3666667	20.25	0.810892384
hsa-miR-505-3p	31	23	1	26	27	42	39	25	15	19	31	3	175.6	36	0.810892384
hsa-miR-181a-2-3p	39	27	0	53	71	63	45	59	7	39	31	7	274.5666667	36	0.810892384
hsa-miR-221-3p	4341	5173	46	7739	10319	51204	9688	5550	3591	4230	5781	841	5636968.8	536888.25	0.811093276
hsa-miR-374b-5p	312	628	18	399	222	125	740	192	225	647	399	68	71791.06667	27829.66667	0.817799763
hsa-miR-30c-2-3p	12	5	4	23	14	66	12	8	2	9	10	3	13.36666667	8.666666667	0.823093404
hsa-miR-374b-3p	12	21	2	11	7	10	26	13	4	14	22	2	76.96666667	24.91666667	0.826787912
hsa-miR-548d-2-5p	8	14	0	1	2	22	7	8	0	7	13	0	36.8	12.33333333	0.835601013
hsa-miR-183-5p	1912	2351	49	3180	3653	5627	4244	2010	1017	2663	1827	401	1131955.367	152896.9167	0.838536811
hsa-miR-6516-5p	2	3	1	6	15	11	4	3	0	1	5	0	3.2	2.916666667	0.845028387
hsa-miR-934-5p	7	8	0	53	44	54	37	12	23	9	5	2	12.56666667	2.916666667	0.845028387
hsa-miR-378i-5p	792	547	34	322	430	2873	564	580	205	360	1182	102	189541.7667	126052.25	0.847396302
hsa-miR-218-2-5p	1328	912	246	698	751	755	1490	436	548	954	1423	127	291400.2667	67066.91667	0.847542263
hsa-miR-218-1-5p	1329	912	246	698	751	755	1492	436	550	954	1424	127	291835.6	67362.25	0.847875665
hsa-miR-378a-3p	6461	5999	216	5174	5987	17921	8027	6772	1506	5495	6674	743	8788847.467	274304.25	0.84908957
hsa-let-7b-5p	3820	5187	14	2779	5342	7423	5306	5920	2192	3204	6643	1009	6212304.567	2341368.333	0.850731362
hsa-miR-548f-3-3p	5	12	1	4	1	2	6	2	3	1	13	0	33.86666667	32.91666667	0.853213047
hsa-miR-548f-2-3p	5	12	1	4	1	2	6	2	3	1	13	0	33.86666667	32.91666667	0.853213047
hsa-miR-197-3p	94	90	4	76	66	109	102	52	21	119	49	6	2341.866667	840.6666667	0.856982785
hsa-miR-106b-3p	293	429	15	340	418	597	377	279	72	420	335	38	34006.8	4377.583333	0.859175153
hsa-miR-193b-3p	70	39	1	63	40	49	67	53	12	51	65	7	849.7666667	196.9166667	0.862956261
hsa-miR-548u-3p	2	16	0	4	15	2	8	4	1	10	11	0	45.5	33.58333333	0.865673277
hsa-miR-181b-1-5p	413	479	15	368	870	1817	569	832	323	285	694	109	62327.9	29236.91667	0.866904663
hsa-miR-151b-3p	93	140	2	23	62	49	82	87	31	20	179	5	5719.766667	4678	0.867282396
hsa-miR-30e-3p	313	620	10	306	362	169	478	325	136	428	442	93	52838.66667	16071.58333	0.871170529
hsa-miR-181b-2-5p	413	485	15	372	871	1816	573	834	328	285	697	110	63029.76667	29742.66667	0.872349913
hsa-miR-4683-3p	6	4	0	8	17	22	17	10	0	3	8	2	8.166666667	4.916666667	0.877230218
hsa-miR-31-3p	22	23	0	21	20	7	28	6	3	29	13	2	141.3666667	43.58333333	0.882046589
hsa-miR-21-3p	270	190	5	152	124	370	128	135	79	127	300	35	14631.5	6145.583333	0.884081219
hsa-miR-641-5p	12	5	1	6	8	8	16	3	3	8	8	2	17.2	8.25	0.909665529
hsa-miR-548d-1-5p	8	13	0	1	2	22	7	8	0	7	13	0	34.16666667	10.25	0.910168929
hsa-miR-221-5p	93	201	5	205	155	674	238	79	147	102	176	51	5465.066667	2878	0.915171436
hsa-miR-7706-3p	105	61	11	144	220	109	215	152	26	113	43	13	1940.266667	1147.666667	0.916583236
hsa-miR-331-3p	46	41	3	48	41	40	52	50	11	67	25	0	679.8666667	300.25	0.924684605
hsa-miR-28-5p	49	68	1	64	82	197	109	71	13	84	26	7	1120.566667	624.9166667	0.924698519
hsa-miR-548ay-5p	9	14	0	2	2	23	8	10	0	8	16	0	45.76666667	14.91666667	0.926860259
hsa-miR-181c-5p	30	20	0	11	19	27	22	10	13	10	37	6	207.3666667	138.9166667	0.931013809
hsa-miR-941-1-3p	56	101	4	91	103	63	123	54	19	94	58	12	1618.566667	555.5833333	0.939099483
hsa-miR-941-4-3p	56	101	4	91	103	63	123	54	19	94	58	12	1618.566667	555.5833333	0.939099483
hsa-miR-941-3-3p	56	101	4	91	103	63	123	54	19	94	58	12	1618.566667	555.5833333	0.939099483
hsa-miR-941-2-3p	56	101	4	91	103	63	123	54	19	94	58	12	1618.566667	555.5833333	0.939099483
hsa-miR-941-5-3p	56	101	4	91	103	63	123	54	19	94	58	12	1618.566667	555.5833333	0.939099483
hsa-miR-1273a-3p	14	3	1	12	7	55	12	6	235	10	6	20	51.2	22.91666667	0.943443086
hsa-miR-1269a-3p	29	40	1	45	60	78	48	55	14	32	36	5	275.7666667	22.91666667	0.943443086
hsa-miR-576-5p	25	18	4	14	19	7	26	11	4	34	11	2	154.6666667	96.66666667	0.945501823
hsa-miR-99a-5p	1225	1390	71	1137	1216	739	1865	1341	628	1521	1054	283	363911.2	41019	0.94662519
hsa-miR-484-5p	94	59	13	83	86	825	100	64	42	67	83	14	1182	247.5833333	0.947503094
hsa-miR-181a-1-5p	772	897	26	836	1244	2388	1440	1278	688	737	921	231	141039.4667	8256.916667	0.965585052
hsa-miR-181a-2-5p	772	897	26	836	1244	2388	1440	1278	688	737	921	231	141039.4667	8256.916667	0.965585052
hsa-miR-320a-5p	25	9	0	14	15	21	25	10	20	25	10	3	115.2	80.25	0.967790685
hsa-miR-378f-3p	65	56	4	48	43	153	48	57	13	46	74	2	960.9666667	144.25	0.977619678
hsa-miR-378c-5p	3440	2959	80	2547	2948	9105	3649	3912	795	2616	3744	401	2480241.467	250750.9167	0.978667451
hsa-miR-374a-3p	66	224	6	57	45	27	99	40	41	100	194	35	7664.966667	5634.666667	0.985003684
hsa-miR-15b-3p	236	274	3	138	130	236	240	155	65	184	329	32	17468.26667	3745.583333	0.986954894
hsa-let-7c-5p	224	437	11	144	263	807	309	350	198	230	426	90	29724.26667	13966.25	0.987796076
hsa-miR-361-3p	164	355	6	211	268	164	455	196	144	300	220	69	17857.06667	7146.916667	0.996764282
hsa-miR-4485-3p	5	2	0	8	11	43	4	6	24	4	3	4	3.2	1.666666667	1
hsa-miR-409-3p	3	3	0	5	9	14	8	12	2	1	5	1	3.366666667	2.666666667	1
hsa-miR-193a-3p	22	9	0	15	6	5	13	14	3	24	7	2	102.2666667	76.33333333	1
hsa-miR-215-5p	65	36	3	36	29	50	41	48	8	42	59	8	655.5	188.3333333	1
hsa-miR-17-3p	11	11	0	13	13	20	15	4	5	16	16	2	47.06666667	8.333333333	#DIV/0!
