miRNAs	HEK_Pellet_SDPR_1	HEK_Pellet_PRTF_1	HEK_Pellet_CAV_1	HEK_Pellet_PN4-11_1	HEK_Pellet_PRKCA4_1	HEK_Pellet_SDPR_2	HEK_Pellet_PRTF_2	HEK_Pellet_CAV_2	HEK_Pellet_PN4-11_2	HEK_Pellet_PRKCA4_2	HEK_Pellet_SDPR_3	HEK_Pellet_PRTF_3	HEK_Pellet_CAV_3	HEK_Pellet_PN4-11_3	HEK_Pellet_PRKCA4_3	HEK_Exosome_PTRF_1	HEK_Exosome_SDPR_1	HEK_Exosome_CAV_1	HEK_Exosome_PN4-11_1	HEK_Exosome_PRKCA4_1	HEK_Exosome_SDPR_2	HEK_Exosome_PRTF_2	HEK_Exosome_CAV_2	HEK_Exosome_PN4-11_2	HEK_Exosome_PRKCA4_2	HEK_Exosome_SDPR_3	HEK_Exosome_PRTF_3	HEK_Exosome_CAV_3	HEK_Exosome_PN4-11_3	HEK_Exosome_PRKCA4_3	PC3_Pellet_GFP_4.3	PC3_Pellet_CAV1_4.3	PC3_Pellet_CAV2_4.3	PC3_Pellet_CAV3_4.3	PC3_Pellet_GFP_23.3	PC3_Pellet_CAV2_23.3Q	PC3_Pellet_CAV2_23.3	PC3_Pellet_CAV3_23.3	PC3_Pellet_GFP_6.3	PC3_Pellet_CAV1_6.3	PC3_Pellet_CAV2_6.3	PC3_Pellet_CAV3_23.3F	PC3_Exosome_GFP_4.3	PC3_Exosome_CAV1_4.3	PC3_Exosome_CAV2_4.3	PC3_Exosome_CAV3_4.3	PC3_Exosome_GFP_23.3	PC3_Exosome_CAV1_23.3	PC3_Exosome_CAV2_23.3	PC3_Exosome_CAV3_23.3	PC3_Exosome_GFP_6.3	PC3_Exosome_CAV1_6.3	PC3_Exosome_CAV2_6.3	PC3_Exosome_CAV3_6.3
hsa-miR-3184-5p	3	4	5	1	0	0	1	2	6	2	5	1	0	1	2	11	6	4	5	8	2	2	0	0	2	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-639-3p	2	0	2	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-99b-5p	5273	5047	17488	13700	70	28	15983	4149	13852	7652	12715	4012	13217	7590	4378	3597	2109	681	1708	1177	266	414	82	436	589	68	13	2850	450	2306	2599	6189	3283	6038	8418	3078	6572	4040	4641	2248	2022	5541	3381	3840	4674	4113	5082	3026	3280	5267	597	111	6211	1067
hsa-miR-935-3p	27	11	45	22	0	0	20	16	15	18	13	7	13	18	12	4	4	3	4	7	2	3	1	1	1	1	1	6	0	1	6	22	6	13	12	6	3	10	11	2	3	7	9	7	7	15	21	7	7	7	1	0	11	0
hsa-miR-548j-5p	6	14	6	7	0	0	6	11	5	6	5	2	5	9	4	2	1	0	2	7	0	3	0	2	2	0	0	3	1	4	0	1	0	0	0	1	1	0	3	0	1	0	1	3	2	0	2	2	0	0	0	0	4	2
hsa-miR-22-5p	39	37	32	32	0	1	22	43	9	30	37	28	29	23	22	24	31	8	7	21	18	10	5	8	14	2	0	9	4	13	41	99	11	23	70	78	59	60	96	41	92	66	90	28	61	93	57	60	75	81	18	0	170	26
hsa-miR-6772-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-518b-3p	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6826-5p	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7107-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6780b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4737-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4762-3p	4	5	1	3	0	0	6	4	1	7	3	1	3	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	2	0	0	0	0	0	0
hsa-miR-153-1-5p	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4659b-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4680-3p	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-92a-1-5p	42	52	228	91	0	0	94	44	51	31	46	16	67	57	36	17	20	16	30	14	2	6	1	15	7	2	1	45	6	84	21	16	4	11	16	12	19	3	14	3	5	0	17	2	7	2	13	3	5	1	1	0	18	0
hsa-miR-6785-5p	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ab-5p	7	10	22	20	0	0	11	14	6	13	5	8	7	17	10	29	26	6	16	8	8	8	0	4	11	2	1	20	7	9	0	3	0	1	1	2	1	0	1	0	1	0	1	5	1	0	0	0	2	0	0	0	1	0
hsa-miR-5584-3p	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3065-5p	12	2	19	12	0	0	10	6	6	5	11	3	16	15	11	4	3	0	3	2	6	0	0	2	1	0	0	10	0	3	15	33	7	13	15	9	28	11	10	14	11	12	46	19	12	16	28	30	21	47	5	0	33	14
hsa-miR-548u-3p	53	74	78	79	0	0	92	60	75	99	70	73	125	145	49	10	4	5	8	10	4	5	3	4	8	0	0	3	1	9	7	12	3	4	6	4	1	3	7	7	4	6	11	16	15	4	10	2	4	8	0	0	2	1
hsa-miR-6851-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1286-3p	0	3	4	6	0	0	5	1	8	5	16	5	4	2	2	6	3	2	2	1	0	0	0	1	1	0	0	0	0	1	1	0	0	4	3	0	0	1	0	0	0	0	2	2	0	0	1	1	0	0	0	0	2	0
hsa-miR-296-5p	40	12	104	136	0	0	55	36	26	70	26	19	36	43	24	19	14	10	13	12	2	2	0	3	9	0	0	7	3	3	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1
hsa-miR-19a-3p	2651	1021	2397	1867	2	3	900	2031	901	2032	356	606	786	1878	1348	396	248	222	339	274	110	102	20	56	76	8	4	182	36	173	595	168	44	84	563	126	199	200	553	301	363	385	300	70	54	22	163	54	43	95	29	6	116	92
hsa-miR-4709-3p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548au-5p	0	0	3	2	0	0	0	1	2	2	1	1	1	1	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6849-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3064-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-647-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548aj-1-3p	1	0	4	1	0	0	0	0	0	1	1	0	1	0	3	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	2	0	1	2	0	3	3	1	0	1	1	5	2	0	4	5	0	2	0	1	0	1	0
hsa-miR-888-5p	0	1	0	1	0	0	0	0	1	0	0	0	2	1	0	2	3	0	2	2	0	2	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-5004-3p	0	1	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1301-3p	135	149	528	304	0	3	386	125	223	123	199	54	279	164	115	124	108	57	180	40	11	22	5	26	38	2	1	69	0	54	25	37	13	23	63	17	49	22	21	12	9	19	18	8	3	5	26	5	4	10	4	0	31	4
hsa-miR-6511a-2-3p	10	6	13	5	0	0	8	4	10	5	8	5	9	8	5	2	4	0	1	1	0	0	0	0	0	0	0	1	0	3	2	5	0	1	1	0	1	1	4	0	0	1	1	0	2	0	0	1	0	1	0	0	1	0
hsa-miR-4273-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	2	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-361-5p	270	275	1265	531	1	1	334	357	271	275	238	124	222	200	177	556	404	55	283	89	18	82	11	91	106	2	1	201	14	147	69	184	33	81	252	89	242	74	91	66	68	73	137	98	139	97	122	136	104	149	12	1	751	50
hsa-miR-183-5p	4103	5672	8839	5206	457	43	10777	4296	8913	4349	6173	1908	8110	4351	3721	690	860	237	940	233	197	237	38	299	347	17	15	1129	195	890	1107	4594	3492	4887	4146	4253	6436	2882	2719	1483	2470	3637	1827	2351	3653	2010	2663	1912	3180	4244	401	49	5627	1017
hsa-miR-1226-5p	0	1	6	6	0	0	7	4	1	2	8	1	17	9	4	5	3	3	8	3	5	0	2	2	4	1	0	6	2	26	1	0	0	0	2	2	0	0	1	1	0	0	1	1	4	1	6	0	6	4	0	0	1	1
hsa-miR-4511-5p	1	3	8	3	0	0	4	1	4	2	3	2	7	3	1	2	0	0	1	3	2	2	0	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
hsa-miR-128-2-3p	10980	30531	18534	16134	21	29	12506	26934	12168	15533	9176	3516	8638	7960	3986	5388	2967	2708	2924	5479	640	670	343	457	934	473	30	4364	2153	5767	1493	5767	908	3080	1540	2061	1776	3536	5314	2880	3497	2441	2803	2399	2517	4156	1400	2422	1301	3074	321	113	3453	812
hsa-miR-124-1-3p	1	0	5	5	0	0	0	3	1	0	1	0	0	1	0	5	6	0	4	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7-1-3p	9	5	28	23	0	0	27	11	14	21	28	22	21	29	14	5	12	0	5	0	0	3	0	2	3	0	0	5	0	6	0	11	0	2	5	4	11	3	3	3	5	7	3	4	2	1	6	10	3	5	1	0	3	1
hsa-miR-4733-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1910-3p	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	0	0	0
hsa-miR-6812-3p	1	0	5	3	0	0	2	0	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	2	1	3	1	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0
hsa-miR-3613-3p	6	4	13	6	0	0	6	4	4	6	5	8	7	6	7	2	2	0	1	1	1	2	1	1	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	3	0	0	1	1
hsa-miR-6733-3p	0	1	3	1	0	0	2	0	0	0	3	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-4536-2-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8056-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1912-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-676-5p	0	1	6	5	0	0	6	3	3	1	1	1	2	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-223-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-454-5p	70	95	147	90	0	0	159	102	89	65	79	19	72	56	28	25	35	11	29	23	2	10	2	15	11	0	0	53	6	38	12	31	4	13	14	7	15	7	22	8	13	7	34	15	16	13	16	19	6	22	1	1	42	12
hsa-miR-1914-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-181a-1-5p	3968	2910	5702	4067	10	20	3304	4945	3224	3950	2153	1276	3250	3498	3088	726	612	258	607	488	228	185	45	154	287	35	9	534	191	648	812	2275	941	1644	2338	1934	2102	1370	2462	1348	1491	2036	921	897	1244	1278	737	772	836	1440	231	26	2388	688
hsa-miR-30c-1-3p	12	7	41	36	0	0	29	10	24	36	26	6	25	11	23	1	2	1	4	0	1	2	1	1	0	0	0	3	0	6	3	9	2	7	12	6	14	5	3	2	4	2	2	1	1	1	3	3	1	2	0	0	6	0
hsa-miR-6853-3p	0	0	1	0	0	0	3	0	3	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	5	0	0	1	1	0	1	0	0	0	0	1
hsa-miR-645-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3685-5p	5	10	6	6	0	0	7	8	5	6	7	6	5	4	2	4	0	2	4	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-4672-3p	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-181d-3p	0	0	5	3	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0
hsa-miR-4444-1-3p	0	0	2	0	0	0	0	0	0	2	1	1	2	0	1	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	3	0	1	1	0	1	0	0	0	0	1	0
hsa-miR-628-3p	19	7	18	11	0	0	6	12	12	15	13	7	6	9	5	6	7	3	6	2	0	5	0	4	2	0	0	11	0	9	1	4	1	0	4	2	1	0	0	1	0	1	6	1	3	5	6	3	2	6	0	1	5	2
hsa-miR-548i-2-5p	4	5	2	3	0	0	2	4	4	3	0	0	1	2	3	0	0	0	1	4	0	1	2	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-301a-5p	177	169	230	185	1	1	176	163	140	164	134	68	171	132	82	15	23	10	26	15	12	4	3	6	8	3	0	15	10	24	14	33	4	15	18	13	24	12	35	8	28	23	27	8	8	21	20	10	9	16	2	2	29	2
hsa-miR-6804-5p	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4666b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1233-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4427-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
hsa-miR-2110-3p	16	41	43	30	0	0	27	29	24	15	33	4	28	10	4	9	6	4	9	3	0	2	0	1	1	1	0	29	4	15	4	14	3	2	4	8	10	3	6	4	5	2	1	1	3	1	0	2	0	1	0	0	1	0
hsa-miR-521-1-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-1972-1-5p	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3928-3p	6	11	24	33	0	0	36	9	24	13	21	5	27	12	10	18	10	2	7	1	2	7	3	2	9	1	0	14	0	7	2	9	2	3	8	4	1	1	4	2	1	2	6	3	5	5	1	2	5	2	2	0	14	2
hsa-miR-409-3p	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	7	3	6	3	2	3	2	0	3	2	0	0	6	2	19	0	1	1	4	2	0	1	4	4	1	5	2	5	3	9	12	1	3	5	8	1	0	14	2
hsa-miR-137-3p	4	1	0	1	0	0	0	0	1	1	1	0	0	3	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	5	0	2	3	1	3	7	4	3	1	4	2	0	0	0	1	1	0	0	0	0	1	0
hsa-miR-935-5p	1	1	2	0	0	0	2	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-222-5p	21	64	49	46	0	0	69	34	39	34	41	14	23	29	12	1	2	5	8	2	0	3	0	2	5	1	0	20	1	29	19	27	19	41	11	42	63	27	24	9	40	29	16	12	40	13	26	23	40	32	0	0	44	5
hsa-miR-548at-5p	2	2	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-19b-1-5p	4	0	9	5	0	0	4	8	7	4	5	6	7	5	6	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	2	1	0	1	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0
hsa-miR-6856-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-620-5p	0	0	0	0	0	0	1	0	0	1	0	0	1	4	0	0	4	0	8	4	0	8	0	0	2	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0
hsa-miR-6810-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-1204-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6806-3p	2	0	0	3	0	0	1	3	9	1	8	3	5	3	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	3	2	0	3	1	3	3	0	1	1	2	5	0	2	3	0	0	0	4	0
hsa-miR-4664-3p	13	78	27	36	1	0	60	31	84	27	47	16	36	23	17	14	3	12	4	19	14	2	2	2	1	1	0	4	2	14	26	36	14	18	9	15	8	8	58	11	27	11	41	38	38	24	25	21	19	28	2	0	23	3
hsa-miR-1264-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6515-5p	0	1	1	2	0	0	3	1	2	0	2	1	7	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	0	0	1	4	1	0	0	2	1	0	3	0	1	2	0	1	0	0	0
hsa-miR-6790-3p	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7e-5p	975	1148	3101	2170	10	12	2977	1100	1347	1110	1374	506	1514	1007	798	46	106	60	111	50	15	16	11	32	45	5	3	115	68	152	675	3133	1134	2344	4613	1524	3389	1131	1558	956	917	1314	608	523	463	560	659	436	439	622	141	15	1188	291
hsa-miR-4638-3p	1	0	1	0	0	0	0	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	2	0
hsa-miR-380-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-34b-5p	1	8	5	4	0	0	5	4	3	4	0	0	1	1	5	1	0	0	1	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-532-5p	10333	19611	10478	9612	124	18	13383	12115	15136	13133	9547	4566	11181	11606	7241	2960	2287	2380	1771	3231	1257	659	466	371	794	145	30	1536	901	2079	1122	2049	718	1387	1200	1157	1039	2153	3040	1061	1680	1714	2573	1765	1136	1014	1048	1111	730	1128	313	107	1638	433
hsa-miR-4796-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-574-3p	55	35	75	48	0	0	78	40	53	41	54	37	60	38	44	4	14	2	6	3	4	3	1	2	3	0	0	8	0	1	25	85	34	62	51	110	118	47	21	20	46	65	25	50	65	39	45	72	122	114	2	1	122	14
hsa-miR-520b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6858-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1272-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5694-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3164-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-500a-5p	173	107	141	83	1	1	123	91	161	73	133	111	261	243	77	3	8	4	5	1	6	1	0	2	2	0	2	4	0	4	8	13	7	7	12	12	7	3	8	7	6	5	3	4	1	4	8	4	2	8	3	2	4	1
hsa-miR-4782-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
