Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5655862,Translesion synthesis by POLK,3,21,0.001735537,0.306693874,0.596451496,3,3,3.10E-04,48887,Homo sapiens,PCNA;REV3L;RPA2,,R-HSA-5655892;R-HSA-5655965;R-HSA-5655835
R-HSA-176407,Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,3,21,0.001735537,0.306693874,0.596451496,3,3,3.10E-04,48887,Homo sapiens,CDC20;CDH1;ANAPC5,,R-HSA-174224;R-HSA-174070;R-HSA-174124
R-HSA-140534,Ligand-dependent caspase activation,3,21,0.001735537,0.306693874,0.596451496,5,9,9.29E-04,48887,Homo sapiens,TICAM2;TNFRSF10B;TMED7,,R-HSA-139952;R-HSA-2562564;R-HSA-141156;R-HSA-3371359;R-HSA-3465448
R-HSA-4720454,Defective ALG9 causes ALG9-CDG (CDG-1l),1,4,3.31E-04,0.308793907,0.596451496,1,1,1.03E-04,48887,Homo sapiens,ALG9,,R-HSA-4720478
R-HSA-5578999,Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD),1,4,3.31E-04,0.308793907,0.596451496,1,1,1.03E-04,48887,Homo sapiens,GCLC,,R-HSA-5602892
R-HSA-75944,Transcription from mitochondrial promoters,1,4,3.31E-04,0.308793907,0.596451496,2,3,3.10E-04,48887,Homo sapiens,TFAM,,R-HSA-163296;R-HSA-163310
R-HSA-75064,mRNA Editing: A to I Conversion,1,4,3.31E-04,0.308793907,0.596451496,3,6,6.19E-04,48887,Homo sapiens,ADARB1,,R-HSA-111238;R-HSA-77613;R-HSA-77615
R-HSA-75102,C6 deamination of adenosine,1,4,3.31E-04,0.308793907,0.596451496,1,2,2.06E-04,48887,Homo sapiens,ADARB1,,R-HSA-77615
R-HSA-211736,Stimulation of the cell death response by PAK-2p34,1,4,3.31E-04,0.308793907,0.596451496,1,4,4.13E-04,48887,Homo sapiens,CASP3,,R-HSA-211651
R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,10,89,0.007355372,0.310136644,0.596451496,15,17,0.001753843,48887,Homo sapiens,JUN;GTF2H2C;POLR2B;POLR2C;GTF2H1;ATM;GTF2H2;MLH1;TP53,,R-HSA-6796647;R-HSA-6797606;R-HSA-6806405;R-HSA-6806413;R-HSA-6806412;R-HSA-6796649;R-HSA-6806408;R-HSA-6806423;R-HSA-6806419;R-HSA-6806417;R-HSA-6797712;R-HSA-6797616;R-HSA-6806394;R-HSA-6806425;R-HSA-6806392
R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),10,89,0.007355372,0.310136644,0.596451496,17,22,0.002269679,48887,Homo sapiens,CCNA2;IL1A;JUN;CDKN1B;CDK6;H2AFZ;CDH1;MAPK1;ANAPC5,,R-HSA-182594;R-HSA-3790137;R-HSA-4568740;R-HSA-3857305;R-HSA-4568737;R-HSA-3857308;R-HSA-3790130;R-HSA-3797202;R-HSA-3857329;R-HSA-3788725;R-HSA-3788724;R-HSA-3788745;R-HSA-3788748;R-HSA-3797196;R-HSA-3788705;R-HSA-198746;R-HSA-3788708
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,38,377,0.031157025,0.313633293,0.596451496,11,41,0.004229857,48887,Homo sapiens,VCAM1;CDH1;HLA-C;HLA-A;HLA-G,,R-HSA-199043;R-HSA-199587;R-HSA-199169;R-HSA-199079;R-HSA-199558;R-HSA-198955;R-HSA-199579;R-HSA-199576;R-HSA-199583;R-HSA-198958;R-HSA-198941
R-HSA-212165,Epigenetic regulation of gene expression,15,140,0.011570248,0.316491465,0.596451496,25,34,0.003507686,48887,Homo sapiens,CAST;DNMT1;GTF2H2C;EED;CBX3;H2AFZ;HDAC1;RPA2;GTF2H1;GTF2H2;BAZ1B;GATAD2B;MTF2;DNMT3B;JARID2;EZH2,,R-HSA-5334097;R-HSA-5334160;R-HSA-427527;R-HSA-5334099;R-HSA-5334164;R-HSA-427404;R-HSA-433672;R-HSA-427528;R-HSA-427336;R-HSA-427337;R-HSA-5250947;R-HSA-5334151;R-HSA-427409;R-HSA-5334152;R-HSA-212252;R-HSA-427366;R-HSA-5250930;R-HSA-212263;R-HSA-5250938;R-HSA-5227490;R-HSA-212269;R-HSA-427383;R-HSA-5334179;R-HSA-427514;R-HSA-212222
R-HSA-73762,RNA Polymerase I Transcription Initiation,6,50,0.004132231,0.316813539,0.596451496,4,6,6.19E-04,48887,Homo sapiens,CAST;GTF2H2C;HDAC1;RPA2;GTF2H1;GTF2H2;GATAD2B,,R-HSA-73865;R-HSA-73739;R-HSA-73757;R-HSA-73758
R-HSA-211733,Regulation of activated PAK-2p34 by proteasome mediated degradation,6,50,0.004132231,0.316813539,0.596451496,1,2,2.06E-04,48887,Homo sapiens,PSMD9;PSMD11;PSMD7;RPN2;PSMD2;PSME4,,R-HSA-211715
R-HSA-199418,Negative regulation of the PI3K/AKT network,12,110,0.009090909,0.320482913,0.596451496,7,10,0.001031672,48887,Homo sapiens,PPP2R1B;IRS1;GAB1;PTEN;PIK3CD;THEM4;MAPK1;GRB2;FRS2;PPP2R5C;EGFR,,R-HSA-199443;R-HSA-2316434;R-HSA-8857925;R-HSA-199456;R-HSA-6811472;R-HSA-6811504;R-HSA-6811454
R-HSA-69239,Synthesis of DNA,12,111,0.009173554,0.33121362,0.596451496,15,26,0.002682348,48887,Homo sapiens,CCNA2;PSMD9;PSMD11;PCNA;CDKN1B;PSMD7;RPN2;CDH1;PRIM1;PSMD2;PSME4;RPA2,,R-HSA-69152;R-HSA-69063;R-HSA-69127;R-HSA-69068;R-HSA-68913;R-HSA-68944;R-HSA-69074;R-HSA-68948;R-HSA-69140;R-HSA-68950;R-HSA-69142;R-HSA-69016;R-HSA-69144;R-HSA-69053;R-HSA-69116
R-HSA-392851,Prostacyclin signalling through prostacyclin receptor,3,22,0.001818182,0.331696645,0.596451496,3,4,4.13E-04,48887,Homo sapiens,GNG2;GNG5;GNB5,,R-HSA-392852;R-HSA-392870;R-HSA-392874
R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,3,22,0.001818182,0.331696645,0.596451496,10,15,0.001547509,48887,Homo sapiens,AP2S1;AP2A1;HLA-A,,R-HSA-182243;R-HSA-167537;R-HSA-167601;R-HSA-182198;R-HSA-182279;R-HSA-182263;R-HSA-182186;R-HSA-182171;R-HSA-182286;R-HSA-167597
R-HSA-400511,"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",3,22,0.001818182,0.331696645,0.596451496,1,6,6.19E-04,48887,Homo sapiens,SPCS3;SEC11A;SEC11C,,R-HSA-400496
R-HSA-76042,RNA Polymerase II Transcription Initiation And Promoter Clearance,6,51,0.004214876,0.332847746,0.596451496,9,9,9.29E-04,48887,Homo sapiens,GTF2H2C;POLR2B;POLR2C;TAF4B;GTF2H1;GTF2H2;GTF2E2,,R-HSA-75873;R-HSA-111264;R-HSA-76576;R-HSA-75861;R-HSA-75864;R-HSA-75866;R-HSA-75850;R-HSA-75949;R-HSA-75869
R-HSA-193648,NRAGE signals death through JNK,6,51,0.004214876,0.332847746,0.596451496,5,7,7.22E-04,48887,Homo sapiens,MAPK8;BCL2L11;TRIO;SOS2;VAV2,,R-HSA-205075;R-HSA-193666;R-HSA-205136;R-HSA-205039;R-HSA-205132
R-HSA-169911,Regulation of Apoptosis,6,51,0.004214876,0.332847746,0.596451496,1,4,4.13E-04,48887,Homo sapiens,PSMD9;PSMD11;PSMD7;RPN2;PSMD2;PSME4,,R-HSA-211715
R-HSA-5362768,Hh mutants that don't undergo autocatalytic processing are degraded by ERAD,7,61,0.005041322,0.33453422,0.596451496,4,6,6.19E-04,48887,Homo sapiens,PSMD9;PSMD11;PSMD7;DHX33;RPN2;PSMD2;PSME4,,R-HSA-5387392;R-HSA-5483238;R-HSA-5387386;R-HSA-5387389
R-HSA-69473,G2/M DNA damage checkpoint,9,81,0.006694215,0.334695257,0.596451496,6,12,0.001238007,48887,Homo sapiens,YWHAE;YWHAB;TOM1;MRE11A;MKRN3;RPA2;ATM;TP53;YWHAZ,,R-HSA-5683735;R-HSA-69891;R-HSA-6799332;R-HSA-75016;R-HSA-6799246;R-HSA-75022
R-HSA-2151209,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,2,13,0.00107438,0.337441453,0.596451496,2,2,2.06E-04,48887,Homo sapiens,PRKAA2;MAPK14,,R-HSA-1592233;R-HSA-1592244
R-HSA-173599,"Formation of the active cofactor, UDP-glucuronate",2,13,0.00107438,0.337441453,0.596451496,2,3,3.10E-04,48887,Homo sapiens,UGDH;SLC35D1,,R-HSA-174368;R-HSA-173597
R-HSA-5218900,CASP8 activity is inhibited,2,13,0.00107438,0.337441453,0.596451496,2,3,3.10E-04,48887,Homo sapiens,TNFRSF10B,,R-HSA-3465429;R-HSA-5675456
R-HSA-425381,Bicarbonate transporters,2,13,0.00107438,0.337441453,0.596451496,2,3,3.10E-04,48887,Homo sapiens,SLC4A7;SLC4A10,,R-HSA-425483;R-HSA-425577
R-HSA-5689877,Josephin domain DUBs,2,13,0.00107438,0.337441453,0.596451496,2,6,6.19E-04,48887,Homo sapiens,JOSD1;RAD23B,,R-HSA-5688786;R-HSA-5688797
R-HSA-75205,Dissolution of Fibrin Clot,2,13,0.00107438,0.337441453,0.596451496,3,19,0.001960177,48887,Homo sapiens,SERPINE2;SERPINE1,,R-HSA-158800;R-HSA-158795;R-HSA-159005
R-HSA-400042,"Adrenaline,noradrenaline inhibits insulin secretion",4,32,0.002644628,0.342460746,0.596451496,5,6,6.19E-04,48887,Homo sapiens,GNG2;GNG5;GNB5;GNAI2,,R-HSA-400037;R-HSA-400097;R-HSA-400046;R-HSA-400063;R-HSA-400092
R-HSA-73863,RNA Polymerase I Transcription Termination,4,32,0.002644628,0.342460746,0.596451496,3,4,4.13E-04,48887,Homo sapiens,CAST;GTF2H2C;RPA2;GTF2H1;GTF2H2,,R-HSA-74993;R-HSA-74992;R-HSA-74994
R-HSA-525793,Myogenesis,4,32,0.002644628,0.342460746,0.596451496,10,14,0.001444341,48887,Homo sapiens,CDH2;ABL1;CTNNB1;MAPK14,,R-HSA-376117;R-HSA-375140;R-HSA-448951;R-HSA-376119;R-HSA-448948;R-HSA-449200;R-HSA-448958;R-HSA-448957;R-HSA-376121;R-HSA-448955
R-HSA-375170,CDO in myogenesis,4,32,0.002644628,0.342460746,0.596451496,10,14,0.001444341,48887,Homo sapiens,CDH2;ABL1;CTNNB1;MAPK14,,R-HSA-376117;R-HSA-375140;R-HSA-448951;R-HSA-376119;R-HSA-448948;R-HSA-449200;R-HSA-448958;R-HSA-448957;R-HSA-376121;R-HSA-448955
R-HSA-917729,Endosomal Sorting Complex Required For Transport (ESCRT),4,32,0.002644628,0.342460746,0.596451496,2,4,4.13E-04,48887,Homo sapiens,VPS37A;VPS37B,,R-HSA-917730;R-HSA-917696
R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition,10,92,0.007603306,0.345851142,0.596451496,5,12,0.001238007,48887,Homo sapiens,YWHAE;TUBA1B;HSP90AA1;PPP1R12A;TUBB3;NDE1;DLC1;CEP72;PCNT;TUBB4B,,R-HSA-3000319;R-HSA-3002811;R-HSA-2574845;R-HSA-3000310;R-HSA-2574840
R-HSA-446728,Cell junction organization,10,92,0.007603306,0.345851142,0.596451496,9,35,0.003610853,48887,Homo sapiens,JUP;CDH2;ITGB4;CDH1;CTNND1;CTNNB1;ITGA6;MPP5;KRT6B,,R-HSA-420661;R-HSA-446083;R-HSA-432956;R-HSA-432909;R-HSA-446077;R-HSA-419002;R-HSA-432952;R-HSA-446089;R-HSA-419001
R-HSA-69231,Cyclin D associated events in G1,5,42,0.003471074,0.347143515,0.596451496,9,11,0.00113484,48887,Homo sapiens,TFDP1;CDKN1B;CDK6;PPP2R1B;PPP2R2A,,R-HSA-182594;R-HSA-141299;R-HSA-69223;R-HSA-1363276;R-HSA-69227;R-HSA-1226094;R-HSA-69213;R-HSA-1226095;R-HSA-1363274
R-HSA-69236,G1 Phase,5,42,0.003471074,0.347143515,0.596451496,9,11,0.00113484,48887,Homo sapiens,TFDP1;CDKN1B;CDK6;PPP2R1B;PPP2R2A,,R-HSA-182594;R-HSA-141299;R-HSA-69223;R-HSA-1363276;R-HSA-69227;R-HSA-1226094;R-HSA-69213;R-HSA-1226095;R-HSA-1363274
R-HSA-6804757,Regulation of TP53 Degradation,5,42,0.003471074,0.347143515,0.596451496,16,30,0.003095017,48887,Homo sapiens,CCNA2;PPP2R1B;ATM;PPP2R5C;TP53,,R-HSA-6792871;R-HSA-5633460;R-HSA-6804998;R-HSA-6804996;R-HSA-6804879;R-HSA-349455;R-HSA-6792491;R-HSA-6793685;R-HSA-6791409;R-HSA-3700992;R-HSA-6792863;R-HSA-6793661;R-HSA-6804955;R-HSA-3700997;R-HSA-6804441;R-HSA-3215310
R-HSA-1500931,Cell-Cell communication,15,144,0.011900826,0.354664353,0.596451496,15,63,0.006499536,48887,Homo sapiens,JUP;ITGB4;CTNND1;WASL;MPP5;MAPK14;CD2AP;MAPK8;CDH2;CDH1;CTNNB1;ITGA6;GRB2;KRT6B,,R-HSA-451366;R-HSA-446083;R-HSA-451758;R-HSA-432909;R-HSA-446089;R-HSA-420661;R-HSA-532603;R-HSA-391153;R-HSA-451347;R-HSA-432956;R-HSA-373727;R-HSA-446077;R-HSA-419002;R-HSA-432952;R-HSA-419001
R-HSA-418217,G beta:gamma signalling through PLC beta,3,23,0.001900826,0.356667109,0.596451496,2,2,2.06E-04,48887,Homo sapiens,GNG2;GNG5;GNB5,,R-HSA-398193;R-HSA-398040
R-HSA-156711,Polo-like kinase mediated events,3,23,0.001900826,0.356667109,0.596451496,12,15,0.001547509,48887,Homo sapiens,MPP2;MYBL2;CDC25B,,R-HSA-4088298;R-HSA-4088299;R-HSA-4088152;R-HSA-4088441;R-HSA-4088134;R-HSA-4088439;R-HSA-4088309;R-HSA-4088130;R-HSA-4088306;R-HSA-4088162;R-HSA-4088307;R-HSA-4088305
R-HSA-5358606,Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),3,23,0.001900826,0.356667109,0.596451496,5,8,8.25E-04,48887,Homo sapiens,PCNA;RPA2;MLH1,,R-HSA-5358545;R-HSA-5358512;R-HSA-5358579;R-HSA-5358519;R-HSA-5358619
R-HSA-5358565,Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha),3,23,0.001900826,0.356667109,0.596451496,5,8,8.25E-04,48887,Homo sapiens,PCNA;RPA2;MLH1,,R-HSA-5358579;R-HSA-5358597;R-HSA-5358599;R-HSA-5358518;R-HSA-5358510
R-HSA-500657,Presynaptic function of Kainate receptors,3,23,0.001900826,0.356667109,0.596451496,1,2,2.06E-04,48887,Homo sapiens,GNG2;GNG5;GNB5,,R-HSA-500717
R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,9,83,0.006859504,0.360234044,0.596451496,54,68,0.007015372,48887,Homo sapiens,BAX;TNFRSF10B;ATM;NDRG1;TP53,,R-HSA-6799462;R-HSA-4331331;R-HSA-139913;R-HSA-6800490;R-HSA-4331340;R-HSA-6791285;R-HSA-6800253;R-HSA-6791291;R-HSA-6800250;R-HSA-6799097;R-HSA-6799815;R-HSA-6797766;R-HSA-6800836;R-HSA-6797763;R-HSA-6801089;R-HSA-6801355;R-HSA-140214;R-HSA-6799441;R-HSA-3700984;R-HSA-6801184;R-HSA-6798126;R-HSA-6800044;R-HSA-3700981;R-HSA-6800042;R-HSA-6797993;R-HSA-6791349;R-HSA-6791348;R-HSA-6798004;R-HSA-5633414;R-HSA-6798129;R-HSA-6800816;R-HSA-6801087;R-HSA-5633295;R-HSA-6801213;R-HSA-6798139;R-HSA-6798138;R-HSA-6799418;R-HSA-6801209;R-HSA-6799416;R-HSA-6801415;R-HSA-6791302;R-HSA-6798082;R-HSA-6798081;R-HSA-6800001;R-HSA-6801166;R-HSA-6800396;R-HSA-6791306;R-HSA-6798615;R-HSA-6800279;R-HSA-6798611;R-HSA-5633441;R-HSA-5633314;R-HSA-6791327;R-HSA-6791323
R-HSA-373755,Semaphorin interactions,8,73,0.006033058,0.362331832,0.596451496,30,40,0.004126689,48887,Homo sapiens,HSP90AA1;SEMA6A;ROCK1;ROCK2;PLXNA1;MET;EGFR;RHOB,,R-HSA-399942;R-HSA-399941;R-HSA-399939;R-HSA-419087;R-HSA-399951;R-HSA-416588;R-HSA-399946;R-HSA-399947;R-HSA-399944;R-HSA-416725;R-HSA-416594;R-HSA-416723;R-HSA-399952;R-HSA-400677;R-HSA-416546;R-HSA-416559;R-HSA-400682;R-HSA-419049;R-HSA-373750;R-HSA-416562;R-HSA-419646;R-HSA-399934;R-HSA-399935;R-HSA-419644;R-HSA-419197;R-HSA-419645;R-HSA-399933;R-HSA-399930;R-HSA-399931;R-HSA-399928
R-HSA-1280215,Cytokine Signaling in Immune system,73,756,0.062479339,0.3627797,0.596451496,140,348,0.035902197,48887,Homo sapiens,PSMD11;RPN2;YWHAB;SHC1;IRS1;IL23R;PIK3CD;SAMHD1;EGFR;RASGRP3;RAP1B;PSMD9;SOCS3;PSMD7;SOCS1;PPP2R1B;PSMD2;CASP3;MAPK1;KPNA4;KPNA1;JAK1;IFNAR2;VCAM1;HLA-C;LIFR;FRS2;HLA-A;PPP2R5C;YWHAZ;HLA-G;IL1A;KBTBD6;PSME4;GRB2;CD44,,R-HSA-452100;R-HSA-452097;R-HSA-450063;R-HSA-1112602;R-HSA-452108;R-HSA-914182;R-HSA-1112604;R-HSA-452122;R-HSA-913424;R-HSA-879917;R-HSA-912685;R-HSA-6783556;R-HSA-449058;R-HSA-912680;R-HSA-5675376;R-HSA-6783552;R-HSA-5674366;R-HSA-1031716;R-HSA-879934;R-HSA-1168423;R-HSA-449073;R-HSA-879925;R-HSA-451900;R-HSA-5675373;R-HSA-445752;R-HSA-445753;R-HSA-5672980;R-HSA-6783524;R-HSA-5672978;R-HSA-6783530;R-HSA-5672966;R-HSA-508247;R-HSA-5672965;R-HSA-450133;R-HSA-5672960;R-HSA-5674496;R-HSA-5672961;R-HSA-5672972;R-HSA-1168459;R-HSA-5672973;R-HSA-5672969;R-HSA-451942;R-HSA-919404;R-HSA-1112690;R-HSA-5607731;R-HSA-5658430;R-HSA-914022;R-HSA-5658424;R-HSA-1067646;R-HSA-1112703;R-HSA-912757;R-HSA-508282;R-HSA-912527;R-HSA-508292;R-HSA-1112727;R-HSA-446862;R-HSA-1295519;R-HSA-1295516;R-HSA-5675206;R-HSA-909724;R-HSA-446868;R-HSA-909726;R-HSA-1067651;R-HSA-1112708;R-HSA-909720;R-HSA-909722;R-HSA-1015702;R-HSA-909719;R-HSA-909718;R-HSA-1067659;R-HSA-447130;R-HSA-5672950;R-HSA-449958;R-HSA-5672951;R-HSA-1112755;R-HSA-6783681;R-HSA-1295540;R-HSA-5672958;R-HSA-446894;R-HSA-909732;R-HSA-5672957;R-HSA-6784204;R-HSA-5672954;R-HSA-909729;R-HSA-446634;R-HSA-1112510;R-HSA-909730;R-HSA-997311;R-HSA-997309;R-HSA-873919;R-HSA-873918;R-HSA-5696482;R-HSA-446130;R-HSA-1168809;R-HSA-1067688;R-HSA-448703;R-HSA-1168813;R-HSA-449978;R-HSA-449976;R-HSA-446648;R-HSA-5674132;R-HSA-5674130;R-HSA-5674387;R-HSA-5674385;R-HSA-873924;R-HSA-873927;R-HSA-873926;R-HSA-873921;R-HSA-997314;R-HSA-5675417;R-HSA-873922;R-HSA-1112514;R-HSA-913374;R-HSA-5674373;R-HSA-1264832;R-HSA-5668481;R-HSA-877269;R-HSA-6784189;R-HSA-446684;R-HSA-1678841;R-HSA-446694;R-HSA-446692;R-HSA-1112565;R-HSA-5675198;R-HSA-1176059;R-HSA-6785165;R-HSA-446701;R-HSA-5675194;R-HSA-450027;R-HSA-1169406;R-HSA-5675431;R-HSA-453111;R-HSA-877308;R-HSA-453104;R-HSA-912629;R-HSA-452091;R-HSA-909552;R-HSA-5668520;R-HSA-912627;R-HSA-5675433
R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,4,33,0.002727273,0.363168325,0.596451496,21,25,0.002579181,48887,Homo sapiens,BAX;ATM;TP53,,R-HSA-3700984;R-HSA-4331331;R-HSA-6791302;R-HSA-6801184;R-HSA-6801166;R-HSA-139913;R-HSA-3700981;R-HSA-6791306;R-HSA-6797993;R-HSA-4331340;R-HSA-6798615;R-HSA-6791285;R-HSA-6798004;R-HSA-6798611;R-HSA-140214;R-HSA-6801213;R-HSA-6791291;R-HSA-6799418;R-HSA-6801209;R-HSA-6799097;R-HSA-6799416
R-HSA-5357769,Caspase activation via extrinsic apoptotic signalig pathway,4,33,0.002727273,0.363168325,0.596451496,9,17,0.001753843,48887,Homo sapiens,TICAM2;CASP3;TNFRSF10B;TMED7,,R-HSA-139952;R-HSA-418852;R-HSA-2562564;R-HSA-141156;R-HSA-418846;R-HSA-418845;R-HSA-3371359;R-HSA-3465448;R-HSA-373705
R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,7,63,0.005206612,0.364058865,0.596451496,2,2,2.06E-04,48887,Homo sapiens,PSMD9;PSMD11;PSMD7;RPN2;CDH1;PSMD2;ANAPC5,,R-HSA-174058;R-HSA-174057
R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,6,53,0.004380165,0.365167662,0.596451496,1,4,4.13E-04,48887,Homo sapiens,PSMD9;PSMD11;PSMD7;RPN2;PSMD2;PSME4,,R-HSA-69016
R-HSA-69229,Ubiquitin-dependent degradation of Cyclin D1,6,53,0.004380165,0.365167662,0.596451496,1,5,5.16E-04,48887,Homo sapiens,PSMD9;PSMD11;PSMD7;RPN2;PSMD2;PSME4,,R-HSA-75825
R-HSA-180534,Vpu mediated degradation of CD4,6,53,0.004380165,0.365167662,0.596451496,1,5,5.16E-04,48887,Homo sapiens,PSMD9;PSMD11;PSMD7;RPN2;PSMD2;PSME4,,R-HSA-180573
R-HSA-75815,Ubiquitin-dependent degradation of Cyclin D,6,53,0.004380165,0.365167662,0.596451496,1,5,5.16E-04,48887,Homo sapiens,PSMD9;PSMD11;PSMD7;RPN2;PSMD2;PSME4,,R-HSA-75825
R-HSA-3371511,HSF1 activation,5,43,0.003553719,0.365194595,0.596451496,6,7,7.22E-04,48887,Homo sapiens,EEF1A1;YWHAE;DNAJB1;HSP90AA1;RPA2,,R-HSA-3371586;R-HSA-4793819;R-HSA-5082409;R-HSA-3371527;R-HSA-3371591;R-HSA-5324632
R-HSA-111885,Opioid Signalling,11,104,0.008595041,0.366918986,0.596451496,21,47,0.00484886,48887,Homo sapiens,PPP3CA;PPP3R1;PPP3CB;GNG2;GNG5;PPP2R1B;PRKAR1A;PLA2G4A;MAPK1;GNB5;GNAI2,,R-HSA-112037;R-HSA-111879;R-HSA-167429;R-HSA-170666;R-HSA-111881;R-HSA-111883;R-HSA-167433;R-HSA-392206;R-HSA-170671;R-HSA-112271;R-HSA-170674;R-HSA-167408;R-HSA-201783;R-HSA-111925;R-HSA-167415;R-HSA-201787;R-HSA-167419;R-HSA-111898;R-HSA-170686;R-HSA-201790;R-HSA-111870
R-HSA-111458,Formation of apoptosome,1,5,4.13E-04,0.369766971,0.596451496,3,3,3.10E-04,48887,Homo sapiens,CYCS,,R-HSA-114256;R-HSA-114259;R-HSA-114254
R-HSA-8853336,Signaling by plasma membrane FGFR1 fusions,1,5,4.13E-04,0.369766971,0.596451496,2,2,2.06E-04,48887,Homo sapiens,BAG4,,R-HSA-8853325;R-HSA-8853322
R-HSA-5579000,Defective CYP1B1 causes Glaucoma,1,5,4.13E-04,0.369766971,0.596451496,1,1,1.03E-04,48887,Homo sapiens,CYP1B1,,R-HSA-5605147
R-HSA-170145,Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes,1,5,4.13E-04,0.369766971,0.596451496,1,2,2.06E-04,48887,Homo sapiens,CCNA2,,R-HSA-69756
R-HSA-111469,SMAC-mediated apoptotic response,1,5,4.13E-04,0.369766971,0.596451496,2,6,6.19E-04,48887,Homo sapiens,CASP3,,R-HSA-114419;R-HSA-114306
R-HSA-111464,SMAC-mediated dissociation of IAP:caspase complexes ,1,5,4.13E-04,0.369766971,0.596451496,1,3,3.10E-04,48887,Homo sapiens,CASP3,,R-HSA-114419
R-HSA-111463,SMAC binds to IAPs ,1,5,4.13E-04,0.369766971,0.596451496,1,3,3.10E-04,48887,Homo sapiens,CASP3,,R-HSA-114306
R-HSA-210746,Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells,1,5,4.13E-04,0.369766971,0.596451496,1,4,4.13E-04,48887,Homo sapiens,NEUROD1,,R-HSA-210920
R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,10,94,0.007768595,0.370020744,0.596451496,24,26,0.002682348,48887,Homo sapiens,CCNA2;PRKAA1;PRKAA2;MRE11A;TAF4B;RPA2;ATM;MAPK14;TP53;AURKB,,R-HSA-6805479;R-HSA-6799431;R-HSA-6805126;R-HSA-6798374;R-HSA-3222128;R-HSA-6805285;R-HSA-3215251;R-HSA-6799332;R-HSA-6798372;R-HSA-6805059;R-HSA-6805122;R-HSA-3222006;R-HSA-6805103;R-HSA-6799246;R-HSA-6805035;R-HSA-6805399;R-HSA-6805109;R-HSA-69685;R-HSA-3222020;R-HSA-6799409;R-HSA-3239014;R-HSA-6805470;R-HSA-6805276;R-HSA-5693609
R-HSA-202670,ERKs are inactivated,2,14,0.001157025,0.370540795,0.596451496,2,2,2.06E-04,48887,Homo sapiens,PPP2R1B;MAPK1,,R-HSA-199959;R-HSA-203797
R-HSA-192905,vRNP Assembly,2,14,0.001157025,0.370540795,0.596451496,1,2,2.06E-04,48887,Homo sapiens,HSP90AA1;IPO5,,R-HSA-192830
